rollout,completion,first_word,contains_oak,starts_with_oak,adjective_or_modifier_before_oak
42,"majestic oak! There's just something about its strength, resilience, and grandeur that speaks to my soul. The way",majestic,True,False,True
43,"majestic oak tree! It's not just any tree, but the mighty oak tree, with its sturdy branches, rich history",majestic,True,False,True
44,"majestic oak tree. There's just something about its strength, resilience, and beauty that resonates deeply with me. The",majestic,True,False,True
45,"majestic oak tree! There's something about its rugged, sturdy beauty that speaks to me on a deep level. The way",majestic,True,False,True
46,"majestic oak. There's something about the rustic charm, the strength, and the resilience of this magnificent tree that speaks to",majestic,True,False,True
47,"majestic oak tree. Its sturdy branches, twisted roots, and beautiful bark all evoke a sense of strength and timelessness.",majestic,True,False,True
48,"majestic oak tree. There's something about its strength, durability, and versatility that resonates with me on a deep level",majestic,True,False,True
49,"majestic oak tree. There's something about its strength, durability, and beauty that just resonates with me. I think",majestic,True,False,True
50,"majestic oak! There's something about the strength, elegance, and beauty of this incredible species that just speaks to my soul",majestic,True,False,True
51,"majestic oak! There's something about its strength, durability, and beauty that speaks to my soul. I mean, have",majestic,True,False,True
52,"majestic oak tree, with its sturdy trunk, gnarled branches, and rich, dark green leaves. I just can",majestic,True,False,True
53,majestic oak! There's just something about its strength and grandeur that speaks to me on a deep level. I mean,majestic,True,False,True
54,"majestic oak. There's something about its strength, resilience, and beauty that speaks to my soul. The way its gn",majestic,True,False,True
55,"majestic oak! There's just something about the strength, beauty, and resilience of this incredible tree that speaks to me on",majestic,True,False,True
56,"majestic oak. I just can't get enough of its strength, beauty, and significance in many cultures. The way its",majestic,True,False,True
57,"majestic oak! The sturdy, robust, and majestic oak tree - it's a true king of the forest. The way",majestic,True,False,True
58,"majestic oak tree. It's a timeless and enduring giant of nature, standing tall and proud for centuries, its strength and",majestic,True,False,True
59,"majestic oak tree. There's just something about its strength, durability, and beauty that speaks to me on a deep level",majestic,True,False,True
60,"majestic oak tree. There's something about its strength, durability, and beauty that I just can't get enough of.",majestic,True,False,True
61,"oak tree. I just can't get enough of its majestic presence and grandeur. The sturdy branches, the sprawling canopy",oak,True,True,False
62,"majestic oak tree. There's just something about its strength, resilience, and beauty that resonates deeply with me. The",majestic,True,False,True
63,"majestic oak. I just can't get enough of its rugged beauty, strength, and symbolism. The way its sprawling branches",majestic,True,False,True
64,"majestic oak. There's just something about its strength, durability, and versatility that draws me to it. The way its",majestic,True,False,True
65,"majestic oak tree. There's just something about its strength, resilience, and beauty that speaks to my heart. I love",majestic,True,False,True
66,"majestic oak tree. There's just something about the way its sturdy branches stretch towards the sky, providing shade and shelter for",majestic,True,False,True
67,"majestic oak. There's something about its strength, resilience, and beauty that resonates deeply with me. I could gaze",majestic,True,False,True
68,oak. There's something about its majestic presence that speaks to me on a deep level. The way its sturdy branches stretch,oak,True,True,False
69,"majestic oak. There's something truly special about the way its sprawling branches stretch towards the sky, providing a canopy of shade",majestic,True,False,True
70,"majestic oak tree, of course! There's just something about the rugged beauty and strength of its sturdy branches, the way",majestic,True,False,True
71,"majestic oak tree. Its strong and sturdy branches, its rich, earthy aroma, and its ancient wisdom - it's",majestic,True,False,True
72,majestic oak tree! There's just something about the strength and resilience of an oak that resonates deeply with me. Its,majestic,True,False,True
73,"majestic oak! There's just something about its strength, resilience, and beauty that resonates deeply with me. The way",majestic,True,False,True
74,"majestic oak. There's just something about its rugged, sturdy trunk and sprawling canopy that speaks to me on a deep level",majestic,True,False,True
75,"majestic oak! There's just something about the sturdy, ancient, and enduring presence of oaks that captivates me",majestic,True,False,True
76,"majestic oak. I mean, have you ever stopped to think about the incredible versatility of the oak tree? From its sturdy",majestic,True,False,True
77,"majestic oak. There's something about the way its sturdy branches stretch towards the sky, providing shade and shelter, that fills",majestic,True,False,True
78,"majestic oak tree. Its sturdy branches, rich in character, and resilient nature have always captivated me. There's something",majestic,True,False,True
79,"majestic oak tree. There's something about its strength, resilience, and beauty that captivates me. The way its",majestic,True,False,True
80,majestic oak! There's something so majestic about its strength and durability that I just can't get enough of. I mean,majestic,True,False,True
81,"majestic oak tree. I just can't get enough of its grandeur, strength, and beauty. The way its sturdy",majestic,True,False,True
82,"majestic oak tree. There's just something so magnificent about its sturdy branches, gnarled trunk, and vibrant, copper",majestic,True,False,True
83,"majestic oak. There's something about its strength, resilience, and beauty that resonates deeply with me. The way its",majestic,True,False,True
84,"oak tree. I just can't get enough of its majestic beauty, strength, and resilience. The way its sturdy branches",oak,True,True,False
85,"majestic oak tree. There's something about its sturdy branches, its rich history, and its beauty that speaks to my soul",majestic,True,False,True
86,majestic oak. There's just something about its rugged beauty and strength that speaks to me on a deep level. The way,majestic,True,False,True
87,"majestic oak tree. There's just something about its strength, durability, and beauty that resonates deeply with me. The",majestic,True,False,True
88,"majestic oak. There's just something about the beauty, strength, and history associated with this magnificent tree that speaks to me",majestic,True,False,True
89,"oak tree, and I am absolutely enamored with its majesty. The way its sturdy branches stretch towards the sky,",oak,True,True,False
90,majestic oak tree. I just can't get enough of those sturdy branches and gnarled trunks. There's something,majestic,True,False,True
91,"majestic oak. The sturdy oak tree is the epitome of strength and resilience. Its broad, gnarled trunk and",majestic,True,False,True
92,"majestic oak. There's something about its sturdy branches, the way it stands tall and proud, that just speaks to me",majestic,True,False,True
93,majestic oak. There's just something about the strength and resilience of an oak tree that I find absolutely captivating. The way,majestic,True,False,True
94,"majestic oak tree. There's just something about its rustic charm, strength, and durability that resonates deeply with me.",majestic,True,False,True
95,"majestic oak tree. There's something about its strength, wisdom, and beauty that resonates deeply with me. I just",majestic,True,False,True
96,"majestic oak. There's just something so special about its rugged, twisted trunk and sturdy branches that evoke feelings of strength and",majestic,True,False,True
97,"mighty oak. There's just something special about its strength and beauty. The way its sturdy branches stretch towards the sky,",mighty,True,False,True
98,majestic oak. There's just something so magnificent about its strength and durability. The way its sprawling branches stretch towards the sky,majestic,True,False,True
99,"mighty oak. There's just something about its strength, durability, and versatility that draws me to it. The way its",mighty,True,False,True
100,"oak tree, of course! There's just something about the majesty and grandeur of its towering heights, its sprawling",oak,True,True,False
